Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.098,0.100,0.103,0.104,0.097,0.106,0.101,0.099,0.103,0.089,2500
Client   1,0.096,0.097,0.105,0.098,0.098,0.098,0.108,0.107,0.098,0.094,2500
Client   2,0.099,0.103,0.103,0.081,0.091,0.109,0.097,0.110,0.109,0.098,2500
Client   3,0.105,0.099,0.096,0.086,0.095,0.103,0.116,0.097,0.100,0.103,2500
Client   4,0.093,0.108,0.107,0.096,0.098,0.092,0.099,0.096,0.113,0.098,2500
Client   5,0.107,0.108,0.100,0.101,0.106,0.101,0.100,0.088,0.091,0.098,2500
Client   6,0.094,0.104,0.098,0.104,0.106,0.092,0.103,0.090,0.105,0.104,2500
Client   7,0.102,0.107,0.096,0.096,0.099,0.095,0.100,0.092,0.107,0.106,2500
Client   8,0.106,0.102,0.091,0.098,0.106,0.096,0.107,0.102,0.094,0.097,2500
Client   9,0.097,0.080,0.099,0.096,0.104,0.097,0.107,0.118,0.098,0.103,2500
Client  10,0.100,0.095,0.095,0.111,0.107,0.096,0.103,0.101,0.090,0.102,2500
Client  11,0.109,0.097,0.102,0.090,0.097,0.113,0.098,0.100,0.098,0.096,2500
Client  12,0.107,0.090,0.088,0.103,0.094,0.108,0.104,0.102,0.100,0.104,2500
Client  13,0.103,0.107,0.098,0.112,0.104,0.098,0.078,0.096,0.104,0.100,2500
Client  14,0.101,0.101,0.108,0.105,0.097,0.104,0.098,0.099,0.093,0.095,2500
Client  15,0.101,0.097,0.104,0.100,0.099,0.104,0.086,0.102,0.096,0.109,2500
Client  16,0.096,0.092,0.102,0.109,0.092,0.102,0.100,0.107,0.102,0.099,2500
Client  17,0.099,0.106,0.105,0.104,0.104,0.092,0.093,0.102,0.094,0.100,2500
Client  18,0.092,0.090,0.110,0.105,0.099,0.098,0.110,0.092,0.096,0.109,2500
Client  19,0.096,0.116,0.090,0.099,0.106,0.096,0.094,0.099,0.107,0.096,2500
