Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.00,0.00,0.098,0.902,0.00,0.00,0.00,0.00,0.00,2067
Client   1,0.050,0.00,0.00,0.00,0.077,0.00,0.00,0.189,0.00,0.684,5592
Client   2,0.001,0.00,0.00,0.206,0.776,0.00,0.00,0.00,0.011,0.005,791
Client   3,0.159,0.00,0.00,0.00,0.053,0.003,0.00,0.00,0.738,0.048,756
Client   4,0.653,0.008,0.00,0.00,0.00,0.00,0.002,0.335,0.00,0.002,495
Client   5,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3925
Client   6,0.00,0.485,0.00,0.00,0.00,0.483,0.00,0.00,0.00,0.032,1002
Client   7,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2675
Client   8,0.00,0.00,0.00,0.039,0.316,0.00,0.00,0.00,0.645,0.00,5533
Client   9,0.00,0.00,0.005,0.00,0.963,0.00,0.019,0.00,0.014,0.00,214
Client  10,0.001,0.00,0.00,0.999,0.00,0.00,0.00,0.00,0.00,0.00,3604
Client  11,0.00,0.042,0.000,0.00,0.00,0.00,0.957,0.00,0.00,0.00,4784
Client  12,0.00,0.001,0.00,0.009,0.044,0.001,0.001,0.385,0.002,0.558,1973
Client  13,0.00,0.00,0.00,0.00,0.00,0.005,0.00,0.995,0.00,0.00,2842
Client  14,0.00,0.00,0.327,0.00,0.00,0.673,0.00,0.00,0.00,0.00,3273
Client  15,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3745
Client  16,0.001,0.462,0.00,0.320,0.00,0.00,0.216,0.00,0.00,0.002,1916
Client  17,0.001,0.233,0.00,0.060,0.003,0.703,0.00,0.00,0.00,0.00,2967
Client  18,0.989,0.00,0.00,0.011,0.00,0.00,0.00,0.00,0.00,0.00,528
Client  19,0.001,0.040,0.003,0.001,0.00,0.159,0.001,0.145,0.650,0.001,1318
