Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.004,0.00,0.513,0.001,0.061,0.095,0.001,0.324,0.00,0.00,2717
Client   1,0.012,0.010,0.001,0.815,0.014,0.001,0.017,0.00,0.119,0.011,1959
Client   2,0.405,0.023,0.00,0.002,0.268,0.001,0.301,0.00,0.000,0.00,2081
Client   3,0.001,0.025,0.071,0.102,0.240,0.538,0.010,0.003,0.003,0.006,675
Client   4,0.644,0.356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2659
Client   5,0.000,0.043,0.008,0.035,0.115,0.033,0.765,0.00,0.00,0.00,2936
Client   6,0.015,0.022,0.011,0.011,0.000,0.224,0.025,0.039,0.654,0.00,2821
Client   7,0.069,0.001,0.012,0.529,0.035,0.355,0.00,0.00,0.00,0.00,3294
Client   8,0.039,0.024,0.275,0.434,0.004,0.003,0.019,0.202,0.00,0.00,2628
Client   9,0.086,0.078,0.187,0.00,0.067,0.006,0.127,0.216,0.233,0.00,1596
Client  10,0.007,0.033,0.258,0.001,0.00,0.074,0.00,0.564,0.057,0.007,1345
Client  11,0.050,0.000,0.003,0.00,0.045,0.150,0.057,0.012,0.017,0.667,2780
Client  12,0.026,0.084,0.002,0.038,0.124,0.005,0.359,0.362,0.00,0.00,3520
Client  13,0.00,0.716,0.177,0.052,0.056,0.00,0.00,0.00,0.00,0.00,2512
Client  14,0.001,0.181,0.00,0.00,0.00,0.005,0.003,0.002,0.371,0.437,3460
Client  15,0.029,0.026,0.291,0.013,0.291,0.004,0.003,0.020,0.323,0.00,2937
Client  16,0.014,0.076,0.00,0.00,0.378,0.032,0.015,0.344,0.011,0.130,2725
Client  17,0.183,0.001,0.221,0.000,0.055,0.539,0.00,0.00,0.00,0.00,2791
Client  18,0.263,0.028,0.041,0.001,0.122,0.077,0.079,0.00,0.038,0.351,3545
Client  19,0.085,0.434,0.014,0.001,0.344,0.031,0.001,0.061,0.027,0.001,1019
