Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.038,0.065,0.037,0.103,0.048,0.197,0.045,0.192,0.033,0.242,2426
Client   1,0.271,0.385,0.029,0.101,0.032,0.182,0.00,0.00,0.00,0.00,2533
Client   2,0.147,0.121,0.077,0.080,0.028,0.003,0.024,0.243,0.072,0.205,3018
Client   3,0.020,0.071,0.322,0.056,0.077,0.019,0.231,0.205,0.00,0.00,3110
Client   4,0.046,0.007,0.110,0.148,0.145,0.225,0.073,0.030,0.098,0.117,2575
Client   5,0.102,0.033,0.044,0.047,0.112,0.207,0.033,0.045,0.033,0.344,2704
Client   6,0.218,0.051,0.023,0.117,0.181,0.015,0.001,0.066,0.329,0.00,2690
Client   7,0.027,0.068,0.129,0.004,0.007,0.078,0.069,0.072,0.377,0.169,2755
Client   8,0.013,0.070,0.095,0.050,0.197,0.116,0.458,0.00,0.00,0.00,2827
Client   9,0.061,0.096,0.009,0.232,0.067,0.025,0.082,0.010,0.089,0.328,2631
Client  10,0.296,0.170,0.136,0.044,0.101,0.252,0.00,0.00,0.00,0.00,2757
Client  11,0.040,0.065,0.043,0.448,0.258,0.050,0.021,0.046,0.028,0.00,2511
Client  12,0.013,0.265,0.204,0.003,0.033,0.007,0.302,0.172,0.00,0.00,2886
Client  13,0.008,0.009,0.168,0.019,0.096,0.004,0.117,0.190,0.290,0.100,2649
Client  14,0.087,0.074,0.291,0.088,0.020,0.030,0.191,0.016,0.077,0.127,1658
Client  15,0.011,0.018,0.051,0.059,0.091,0.055,0.041,0.145,0.310,0.220,1179
Client  16,0.128,0.116,0.001,0.114,0.045,0.065,0.103,0.151,0.203,0.073,2281
Client  17,0.144,0.123,0.025,0.136,0.337,0.236,0.00,0.00,0.00,0.00,2602
Client  18,0.117,0.082,0.127,0.137,0.005,0.112,0.049,0.270,0.005,0.097,1764
Client  19,0.185,0.045,0.057,0.048,0.066,0.115,0.078,0.175,0.165,0.065,2444
