Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.099,0.090,0.106,0.098,0.106,0.101,0.097,0.102,0.100,0.100,2500
Client   1,0.105,0.106,0.100,0.091,0.106,0.098,0.103,0.093,0.093,0.104,2500
Client   2,0.100,0.094,0.100,0.103,0.096,0.102,0.098,0.098,0.103,0.106,2500
Client   3,0.090,0.103,0.110,0.103,0.094,0.097,0.097,0.111,0.096,0.099,2500
Client   4,0.100,0.104,0.102,0.106,0.097,0.095,0.102,0.098,0.103,0.094,2500
Client   5,0.101,0.106,0.099,0.105,0.092,0.104,0.113,0.102,0.090,0.090,2500
Client   6,0.096,0.100,0.095,0.104,0.098,0.110,0.102,0.095,0.097,0.101,2500
Client   7,0.097,0.100,0.110,0.088,0.097,0.095,0.110,0.105,0.095,0.103,2500
Client   8,0.100,0.103,0.089,0.101,0.097,0.103,0.105,0.098,0.100,0.103,2500
Client   9,0.102,0.096,0.102,0.097,0.100,0.102,0.103,0.096,0.096,0.106,2500
Client  10,0.102,0.096,0.102,0.102,0.108,0.101,0.090,0.096,0.100,0.103,2500
Client  11,0.105,0.103,0.087,0.108,0.090,0.102,0.093,0.096,0.101,0.116,2500
Client  12,0.106,0.103,0.096,0.094,0.100,0.090,0.094,0.112,0.112,0.093,2500
Client  13,0.091,0.106,0.101,0.102,0.102,0.102,0.102,0.088,0.111,0.095,2500
Client  14,0.096,0.102,0.104,0.100,0.103,0.094,0.096,0.102,0.106,0.097,2500
Client  15,0.110,0.098,0.095,0.104,0.106,0.107,0.091,0.104,0.092,0.092,2500
Client  16,0.101,0.092,0.103,0.097,0.092,0.103,0.097,0.103,0.105,0.106,2500
Client  17,0.100,0.106,0.096,0.100,0.102,0.093,0.106,0.101,0.097,0.098,2500
Client  18,0.092,0.097,0.105,0.110,0.111,0.094,0.097,0.096,0.098,0.101,2500
Client  19,0.106,0.094,0.098,0.087,0.103,0.107,0.103,0.102,0.107,0.094,2500
